,Station,Latitude,Longitude
193,4348,40.6830456,-74.00348559
194,4354,40.683826,-73.976323
195,4357,40.68458,-73.90925
196,4362,40.6853761,-73.98302136
197,4366,40.68565,-73.91564
198,4368,40.6851443,-73.95380904
199,4371,40.685424,-73.991277
200,4374,40.685126,-74.025353
201,4377,40.68488,-73.96304
202,4380,40.6847514,-73.99917254
203,4386,40.684157,-73.969222
204,4392,40.6851532,-73.94111
205,4395,40.686919,-73.976682
206,4399,40.68652,-73.91321
207,4404,40.684967,-73.986208
208,4413,40.686371,-73.993833
209,4419,40.68650065,-73.96563307
210,4422,40.68593,-74.002424
211,4425,40.686312,-73.935775
212,4428,40.687534,-73.972652
213,4432,40.6882,-73.90798
214,4434,40.686203,-73.944694
215,4437,40.68683208,-73.9796772
216,4440,40.68706579875912,-74.01675585121666
217,4441,40.68663,-73.9168
218,4446,40.686744,-73.990632
219,4452,40.686767,-73.959281
220,4455,40.6881529,-73.99520919
221,4461,40.68764484,-73.96968902
222,4474,40.68858,-73.91227
223,4476,40.690082,-73.947915
224,4479,40.689622,-73.983043
225,4483,40.68822,-73.91966
226,4488,40.690238,-73.992031
227,4494,40.688515,-73.964763
228,4497,40.6893952,-73.9995126
229,4507,40.68906,-73.90506
230,4510,40.6894932,-73.942061
231,4513,40.690065,-73.978776
232,4517,40.68989,-73.91458
233,4519,40.690725,-73.951334
234,4526,40.69047,-73.923511
235,4528,40.690648,-73.957462
236,4531,40.690892,-73.996123
237,4546,40.691782,-73.97373
238,4550,40.68929,-73.90951
239,4553,40.691283,-73.945242
240,4560,40.69122,-73.91693
241,4565,40.69102925677968,-73.99183362722397
242,4568,40.692,-73.92617
243,4582,40.69081,-73.90448
244,4587,40.69178,-73.97877
245,4590,40.692316,-74.014865
246,4591,40.69055,-73.91181
247,4596,40.69221589,-73.9842844
248,4600,40.69146,-73.92146
249,4605,40.69239502,-73.99337909
250,4608,40.69329,-73.92852
251,4611,40.69196,-73.965368
252,4614,40.69165183,-73.9999786
253,4617,40.69237074,-73.93705428
254,4620,40.693082,-73.971789
255,4623,40.693,-73.90824
256,4628,40.691965,-73.981301
257,4632,40.69296,-73.91605
258,4634,40.69331716,-73.95381995
259,4637,40.692418,-73.989494
260,4640,40.69356,-73.92524
261,4645,40.695128,-73.99595
262,4651,40.693261,-73.968896
263,4654,40.69517,-73.90311
264,4656,40.6933982,-73.939877
265,4659,40.69327,-73.977039
266,4663,40.69545,-73.91164
267,4665,40.694254,-73.946269
268,4668,40.694749,-73.983625
269,4672,40.69543,-73.9196
270,4677,40.6942715,-73.9923272
271,4680,40.69502,-73.92825
272,4683,40.693631,-73.962235
273,4689,40.69544,-73.93223
274,4692,40.69573398,-73.97129668
275,4695,40.69467,-73.90663
276,4697,40.696229,-73.94371
277,4700,40.696089,-73.978034
278,4707,40.69539817,-73.94954908
279,4710,40.695065,-73.987167
280,4713,40.69676,-73.92302
281,4715,40.694546087246025,-73.95801365375519
282,4718,40.695356,-73.99344
283,4721,40.69671,-73.92807
284,4724,40.696102,-73.96751
285,4729,40.69682,-73.937569
286,4732,40.695807,-73.973556
287,4735,40.69811,-73.90904
288,4743,40.69714,-73.91566
289,4748,40.69623297129316,-73.99142056703568
290,4751,40.697842,-73.926241
291,4756,40.698458,-73.997178
292,4759,40.69757,-73.93098
293,4762,40.69794,-73.96986848
294,4765,40.69812,-73.90271
295,4768,40.698617,-73.941342
296,4775,40.698,-73.9127
297,4781,40.69766564,-73.98476437
298,4784,40.698568,-73.918877
299,4789,40.697601,-73.993446
300,4792,40.700003,-73.92834
301,4798,40.6988,-73.9007
302,4801,40.697481,-73.935877
303,4804,40.69985,-73.97141
304,4807,40.70068,-73.90742
305,4812,40.698399,-73.980689
306,4816,40.69943,-73.91337
307,4818,40.70029511,-73.95032283
308,4821,40.69991755,-73.98971773
309,4824,40.699304,-73.923044
310,4829,40.700378,-73.99548
311,4832,40.70112,-73.93039
312,4837,40.69969,-73.9022
313,4840,40.70099,-73.93921
314,4846,40.701221,-74.012342
315,4847,40.699871,-73.911719
316,4850,40.69957608,-73.94708417
317,4853,40.70133448066992,-73.98471236228943
318,4856,40.70108,-73.9179
319,4861,40.7003,-73.991581
320,4864,40.70166,-73.92754
321,4873,40.70106,-73.93318
322,4880,40.70183,-73.90625
323,4883,40.701666,-73.94373
324,4889,40.701907,-74.013942
325,4890,40.70113,-73.91422
326,4895,40.701403,-73.986727
327,4898,40.7027,-73.92095
328,4903,40.702709,-73.99253
329,4906,40.702997,-73.92997
330,4914,40.70076,-73.93641
331,4921,40.701573,-73.908762
332,4927,40.70224,-73.982578
333,4931,40.703545,-73.917775
334,4936,40.70255,-73.989402
335,4939,40.702013,-73.923769
336,4947,40.702831,-73.9333
337,4953,40.70437,-74.00637
338,4954,40.70408,-73.90408
339,4956,40.7031724,-73.940636
340,4962,40.70255,-74.012723
341,4963,40.70461,-73.91054
342,4965,40.70411791,-73.94818595
343,4968,40.70296934155272,-73.98469090461731
344,4971,40.704876,-73.919911
345,4979,40.704425,-73.92836
346,4987,40.704508,-73.9351
347,4990,40.705312,-73.971001
348,4993,40.703366,-74.007867
349,4994,40.70413,-73.90737
350,4996,40.705109,-73.944073
351,5001,40.705692,-74.016776
352,5002,40.70577,-73.91292
353,5004,40.70538,-73.949765
354,5010,40.705614,-73.92153
355,5018,40.70539,-73.92976
356,5024,40.70531,-74.006126
357,5025,40.70555,-73.90245
358,5027,40.705517,-73.93936
359,5034,40.70553,-73.9096
360,5036,40.70583339,-73.94644578
361,5043,40.70636,-73.91945
362,5045,40.706842,-73.954435
363,5051,40.70538,-73.92535
364,5059,40.706237,-73.933871
365,5062,40.707644,-73.968415
366,5065,40.707064,-74.007318
367,5066,40.70694,-73.90632
368,5068,40.707678,-73.940162
369,5074,40.70793,-73.91092
370,5082,40.70907,-73.92157
371,5084,40.707087,-73.957967
372,5090,40.70686,-73.92851
373,5093,40.70853074,-73.96408963
374,5096,40.708485,-74.002751
375,5099,40.707174,-73.93581
376,5105,40.70858894240581,-74.00935482235809
377,5106,40.709697,-73.907856
378,5108,40.708703,-73.944862
379,5114,40.70834698,-74.01713445
380,5115,40.70863,-73.91497
381,5117,40.708771,-73.950953
382,5123,40.70869,-73.92587
383,5125,40.709248,-73.960631
384,5128,40.711174,-73.996826
385,5137,40.710323,-74.004322
386,5140,40.709897,-73.94008
387,5145,40.709267,-74.013247
388,5146,40.70998,-73.91116
389,5148,40.710369,-73.94706
390,5156,40.70934,-73.95608
391,5159,40.711731,-73.99193
392,5164,40.71044554,-73.96525063
393,5167,40.711174,-74.000165
394,5170,40.710681,-73.93372
395,5175,40.711066,-74.009447
396,5178,40.711863,-73.944024
397,5181,40.712199,-73.979481
398,5184,40.711444,-74.014847
399,5187,40.711674,-73.951413
400,5190,40.711471,-73.986726
401,5198,40.71076228,-73.99400398
402,5204,40.712859,-73.965903
403,5207,40.71273266,-74.0046073
404,5210,40.71323,-73.93894
405,5216,40.71222,-74.010472
406,5225,40.71246,-73.91873
407,5235,40.71260486,-73.96264403
408,5238,40.713079,-73.998511
409,5241,40.71429,-73.93323
410,5247,40.71450451,-74.00562789
411,5250,40.71247661,-73.94100005
412,5259,40.713352,-73.949103
413,5262,40.713126,-73.984844
414,5267,40.71469,-73.95739
415,5270,40.715816,-73.994224
416,5273,40.71401,-73.92793
417,5279,40.714948,-74.002344
418,5282,40.713811,-73.93515
419,5288,40.713341,-74.009355
420,5291,40.715143,-73.944507
421,5294,40.714211,-73.981095
422,5297,40.7153379,-74.01658354
423,5300,40.714133,-73.952344
424,5303,40.71559509,-73.9870295
425,5308,40.71534825,-73.96024116
426,5323,40.715353,-73.93856
427,5326,40.71782143,-73.97628939
428,5329,40.714979,-74.013012
429,5332,40.71638,-73.948213
430,5335,40.71622644,-73.98261206
431,5342,40.71605866,-73.99190759
432,5348,40.716887,-73.963198
433,5351,40.71602118,-73.99974372
434,5354,40.716657,-73.93637
435,5359,40.717571,-74.005549
436,5362,40.71773,-73.94051
437,5365,40.717399,-73.980165
438,5371,40.717661,-73.9488
439,5374,40.7172274,-73.98802084
440,5379,40.717451,-73.958509
441,5382,40.717798,-73.993161
442,5391,40.71939226,-74.00247214
443,5400,40.717487,-74.010455
444,5403,40.719293,-73.945003
445,5406,40.71926,-73.98178
446,5411,40.718169,-73.955201
447,5414,40.720196,-73.989978
448,5422,40.71910537,-73.99973337
449,5430,40.719116,-74.006667
450,5433,40.71882,-73.93948
451,5436,40.720828,-73.977932
452,5442,40.719156,-73.948854
453,5445,40.720664,-73.98518
454,5450,40.72079821,-73.95484712
455,5453,40.718939,-73.992663
456,5470,40.721319,-74.010065
457,5473,40.72158,-73.94546
458,5476,40.720873,-73.980857
459,5481,40.721791,-73.950415
460,5484,40.722055,-73.989111
461,5489,40.720368,-73.961651
462,5492,40.722103786686034,-73.99724900722504
463,5500,40.72243797,-74.00566443
464,5503,40.72226,-73.93889
465,5506,40.72228,-73.976687
466,5515,40.722174,-73.983687
467,5520,40.724055,-73.955736
468,5523,40.722293,-73.991475
469,5532,40.723627,-73.999496
470,5539,40.721853,-74.007717
471,5542,40.72325,-73.94308
472,5545,40.722992,-73.979955
473,5550,40.7239567849954,-73.94984364509583
474,5553,40.72467721,-73.98783413
475,5561,40.72317958,-73.99480012
476,5569,40.724947,-74.001659
477,5575,40.725065,-73.975158
478,5578,40.72405549,-74.00965965
479,5581,40.72557,-73.94434
480,5584,40.724537,-73.981854
481,5593,40.726281,-73.98978
482,5610,40.724308321602166,-74.00473035871983
483,5613,40.72577,-73.94173
484,5616,40.725213,-73.977687
485,5623,40.724812564400175,-73.94752621650696
486,5626,40.725864,-73.986389
487,5633,40.72606,-73.95621
488,5636,40.72743423,-73.99379025
489,5644,40.726378,-74.000472
490,5653,40.725839,-74.007653
491,5659,40.727407,-73.98142
492,5666,40.727086,-73.952991
493,5669,40.7284186,-73.98713956
494,5679,40.727063,-73.996621
495,5687,40.727102,-74.00297
496,5696,40.7277140777778,-74.01129573583603
497,5709,40.72795,-73.95414
498,5712,40.729515,-73.990753
499,5721,40.72917025,-73.99810231
500,5730,40.728846,-74.008591
501,5736,40.729386,-73.977724
502,5743,40.72984,-73.94839
503,5746,40.729538,-73.984267
504,5752,40.72906,-73.95779
505,5755,40.731437,-73.994903
506,5763,40.730385,-74.002149
507,5769,40.730563,-73.973984
508,5772,40.73115,-74.00887
509,5779,40.731539,-73.985302
510,5785,40.73124,-73.95161
511,5788,40.732232,-73.988899
512,5794,40.731734785883454,-73.9612390102593
513,5797,40.732264,-73.998522
514,5805,40.731724,-74.006744
515,5820,40.731539,-73.985302
516,5826,40.73232194,-73.9550858
517,5838,40.732241,-74.000263
518,5847,40.73191132323174,-74.008769094944
519,5854,40.732339777151054,-73.97898383438587
520,5860,40.73396,-73.95204
521,5863,40.734232,-73.986923
522,5869,40.73266,-73.95826
523,5872,40.732758,-73.995816
524,5880,40.734011,-74.002938
525,5886,40.73314259,-73.97573881
526,5905,40.734545,-73.990741
527,5914,40.735324,-73.998004
528,5922,40.73535398,-74.00483091
529,5929,40.736502,-73.978095
530,5938,40.735367055605394,-73.98797392845154
531,5944,40.73564,-73.95866
532,5947,40.735445,-73.99431
533,5955,40.735918,-74.000939
534,5964,40.736197,-74.008592
535,5971,40.735876,-73.98205
536,5977,40.73555,-73.95284
537,5980,40.74025878,-73.98409214
538,5989,40.738046,-73.99643
539,6004,40.738177,-73.977387
540,6022,40.737262,-73.99239
541,6030,40.78057799010334,-73.98562431335449
542,6039,40.739323,-74.008119
543,6046,40.73912601,-73.97973776
544,6055,40.738274,-73.98752
545,6064,40.739713,-73.994564
546,6072,40.739017,-74.002638
547,6076,40.741283,-73.937258
