,ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual
12348,B19FD0F75F8D1CC7,docked_bike,2021-03-01 12:25:58,2021-03-01 13:03:20,Southern Blvd & E 142 St,7719,Southern Blvd & E 142 St,7719,40.807347,-73.908098,40.807347,-73.908098,member
12360,A5F56C60C4ACACAA,docked_bike,2021-03-27 11:27:39,2021-03-27 11:31:10,E 149 St & Jackson Ave,7812,Southern Blvd & E 142 St,7719,40.813135,-73.909235,40.807347437082,-73.90809774398804,member
12393,4364EE14698983AA,docked_bike,2021-03-21 19:44:58,2021-03-21 19:57:23,Southern Blvd & E 142 St,7719,Southern Blvd & E 142 St,7719,40.807347,-73.908097,40.807347437082,-73.90809774398804,casual
31847,D78F02279A1B87E4,docked_bike,2021-03-11 13:12:28,2021-03-11 13:33:42,Southern Blvd & E 142 St,7719,E 81 St & 2 Ave,7121,40.807347,-73.908097,40.77477944895728,-73.95427465438843,member
32366,5AD618269429C0FE,docked_bike,2021-03-11 13:08:22,2021-03-11 13:11:53,St. Ann's Ave & E 144 St,7755,Southern Blvd & E 142 St,7719,40.811112,-73.914932,40.807347437082,-73.90809774398804,member
101252,CC1F2B061CF1145D,docked_bike,2021-03-27 17:50:59,2021-03-27 17:57:57,Southern Blvd & E 142 St,7719,E 134 St & Walnut Ave,7613,40.807347,-73.908097,40.800425,-73.911034,casual
101256,B08E98CC6231D635,docked_bike,2021-03-26 17:31:37,2021-03-26 17:36:37,Southern Blvd & E 142 St,7719,E 134 St & Walnut Ave,7613,40.807347,-73.908097,40.800425,-73.911034,member
104968,68F6E993E7EC303D,docked_bike,2021-03-13 11:57:18,2021-03-13 12:12:37,E 149 St & Jackson Ave,7812,Southern Blvd & E 142 St,7719,40.813135,-73.909235,40.807347437082,-73.90809774398804,casual
143894,7913E0D8C956815B,docked_bike,2021-03-24 12:37:03,2021-03-24 12:41:08,St. Ann's Ave & E 144 St,7755,Southern Blvd & E 142 St,7719,40.811112,-73.914932,40.807347437082,-73.90809774398804,member
143895,DF301F517B3B4B2F,docked_bike,2021-03-09 13:36:59,2021-03-09 13:41:07,St. Ann's Ave & E 144 St,7755,Southern Blvd & E 142 St,7719,40.811112,-73.914932,40.807347437082,-73.90809774398804,member
146293,11CD8AC5C0FEAD83,docked_bike,2021-03-22 12:53:30,2021-03-22 12:59:58,Southern Blvd & E 142 St,7719,Wales Ave & E 147 St,7751,40.807347,-73.908097,40.811314,-73.907729,member
182565,1B28F793F02833E5,docked_bike,2021-03-12 17:35:28,2021-03-12 17:44:45,E 134 St & Walnut Ave,7613,Southern Blvd & E 142 St,7719,40.800425,-73.911034,40.807347437082,-73.90809774398804,member
182828,2368EC3460503F85,docked_bike,2021-03-06 16:06:25,2021-03-06 16:06:29,Southern Blvd & E 142 St,7719,Southern Blvd & E 142 St,7719,40.807347,-73.908097,40.807347437082,-73.90809774398804,member
182829,BA74541170369DD5,docked_bike,2021-03-12 14:46:15,2021-03-12 14:46:18,Southern Blvd & E 142 St,7719,Southern Blvd & E 142 St,7719,40.807347,-73.908097,40.807347437082,-73.90809774398804,member
182836,2320E73B53CBAF23,docked_bike,2021-03-21 11:13:54,2021-03-21 11:14:47,Southern Blvd & E 142 St,7719,Southern Blvd & E 142 St,7719,40.807347,-73.908097,40.807347437082,-73.90809774398804,member
182877,2EBC40DAE97391DD,docked_bike,2021-03-14 22:15:47,2021-03-14 22:27:30,Southern Blvd & E 142 St,7719,Southern Blvd & E 142 St,7719,40.807347,-73.908097,40.807347437082,-73.90809774398804,casual
182894,A6297AB388967445,docked_bike,2021-03-31 18:47:02,2021-03-31 19:05:29,Southern Blvd & E 142 St,7719,Southern Blvd & E 142 St,7719,40.807347,-73.908097,40.807347437082,-73.90809774398804,casual
182944,B4A2F58F93E27104,docked_bike,2021-03-29 15:51:58,2021-03-29 16:03:48,Southern Blvd & E 142 St,7719,Southern Blvd & E 142 St,7719,40.807347,-73.908097,40.807347437082,-73.90809774398804,casual
183042,6E3F151C8DBADB5C,docked_bike,2021-03-26 17:16:45,2021-03-26 17:28:37,Westchester Ave & Southern Blvd,8004,Southern Blvd & E 142 St,7719,40.824956,-73.891677,40.807347437082,-73.90809774398804,member
183045,6D8A0D20F3A653AC,docked_bike,2021-03-01 14:31:58,2021-03-01 14:39:23,Longwood Ave & Southern Blvd,7849,Southern Blvd & E 142 St,7719,40.816343,-73.896447,40.807347,-73.908098,member
251033,58776A9431D35A8D,docked_bike,2021-03-21 11:09:11,2021-03-21 11:13:06,Southern Blvd & E 149 St,7788,Southern Blvd & E 142 St,7719,40.811892,-73.904192,40.807347437082,-73.90809774398804,member
251045,6688B139DD552B33,docked_bike,2021-03-12 16:27:33,2021-03-12 16:31:35,Southern Blvd & E 149 St,7788,Southern Blvd & E 142 St,7719,40.811892,-73.904192,40.807347437082,-73.90809774398804,member
