,ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual
4139,1C3216FDF78D4A8B,docked_bike,2021-03-29 17:03:38,2021-03-29 17:12:05,20 Ave & 48 St,7066,36 St & Ditmars Blvd,7111,40.772899,-73.896849,40.774306,-73.908335,member
6394,4DA41BB42A6BF01F,docked_bike,2021-03-19 21:45:16,2021-03-19 21:54:55,20 Ave & 48 St,7066,Broadway & 51 St,6545,40.772899,-73.896849,40.754164,-73.908906,member
6566,A2E154F1C605B832,docked_bike,2021-03-18 22:04:52,2021-03-18 22:14:23,20 Ave & 48 St,7066,Broadway & 51 St,6545,40.772899,-73.896849,40.754164,-73.908906,member
9089,42BC3EC278F9B01F,docked_bike,2021-03-26 11:37:18,2021-03-26 11:56:46,20 Ave & 48 St,7066,Astoria Park S & Shore Blvd,7159,40.772899,-73.896849,40.7767,-73.927631,member
12413,C098C39AA2EDEA9B,docked_bike,2021-03-23 18:30:48,2021-03-23 18:52:42,20 Ave & 48 St,7066,20 Ave & 48 St,7066,40.772899,-73.896849,40.772899,-73.896849,casual
12431,624933E1ACCA2DDB,docked_bike,2021-03-11 14:08:29,2021-03-11 14:15:33,35 St & 23 Ave,7047,20 Ave & 48 St,7066,40.773015,-73.91119,40.772899,-73.896849,casual
12498,3B9FE6D57A3F4854,docked_bike,2021-03-25 18:35:17,2021-03-25 18:45:00,Ditmars Blvd & 19 St,7291,20 Ave & 48 St,7066,40.78145,-73.91833,40.772899,-73.896849,casual
33434,7E17C2F15B7A5F29,docked_bike,2021-03-05 18:05:29,2021-03-05 18:11:43,20 Ave & 48 St,7066,31 St & 23 Ave,7144,40.772899,-73.896849,40.7747878,-73.9125551,casual
39447,64E23539B78202A5,docked_bike,2021-03-13 14:33:46,2021-03-13 14:39:24,20 Ave & 48 St,7066,20 Ave & 38 St,7196,40.772899,-73.896849,40.777112,-73.902382,member
42901,D42861A8EDAAC4FC,docked_bike,2021-03-27 21:45:23,2021-03-27 21:55:45,20 Ave & 48 St,7066,Broadway & 51 St,6545,40.772899,-73.896849,40.754164,-73.908906,member
43979,056F9EBA7335C05C,docked_bike,2021-03-01 10:14:14,2021-03-01 10:16:35,20 Ave & 48 St,7066,Ditmars Blvd & 73 St,6964,40.772899,-73.896849,40.76817,-73.896293,member
45481,BCE47A538D8E1323,docked_bike,2021-03-21 15:27:39,2021-03-21 15:35:37,20 Ave & 48 St,7066,21 St & 21 Ave,7314,40.772899,-73.896849,40.782465,-73.914527,member
70807,9380A158B81DEC3F,docked_bike,2021-03-15 19:12:28,2021-03-15 19:25:43,20 Ave & 48 St,7066,46 St & 25 Ave,6907,40.772899,-73.896849,40.765753,-73.90676,casual
104898,817F9E4376AD4636,docked_bike,2021-03-11 16:47:52,2021-03-11 17:00:58,20 Ave & 21 St,7363,20 Ave & 48 St,7066,40.784003,-73.912297,40.772899,-73.896849,member
104993,FC3FC5BCECE385F0,docked_bike,2021-03-27 19:56:44,2021-03-27 20:05:51,Ditmars Blvd & 19 St,7291,20 Ave & 48 St,7066,40.78145,-73.91833,40.772899,-73.896849,member
104997,2685D5CE8E5D8CDB,docked_bike,2021-03-25 19:13:41,2021-03-25 19:37:06,Ditmars Blvd & 19 St,7291,20 Ave & 48 St,7066,40.78145,-73.91833,40.772899,-73.896849,member
105259,07A657612BE8435A,docked_bike,2021-03-29 09:34:14,2021-03-29 09:48:21,20 Ave & 48 St,7066,62 St & Northern Blvd,6536,40.772899,-73.896849,40.754176,-73.900318,casual
109866,55D1E1DA55E3B069,docked_bike,2021-03-23 19:14:54,2021-03-23 19:33:22,20 Ave & 48 St,7066,Astoria Park S & Shore Blvd,7159,40.772899,-73.896849,40.7767,-73.927631,casual
109870,34321A86EC9CE059,docked_bike,2021-03-23 19:15:23,2021-03-23 20:30:27,20 Ave & 48 St,7066,Astoria Park S & Shore Blvd,7159,40.772899,-73.896849,40.7767,-73.927631,casual
120581,3A8B319131684AE1,docked_bike,2021-03-26 10:55:10,2021-03-26 11:12:25,20 Ave & 48 St,7066,20 Ave & 33 St,7226,40.772899,-73.896849,40.779399,-73.905708,casual
121018,FD409659ADFF1048,docked_bike,2021-03-20 09:22:37,2021-03-20 09:26:54,20 Ave & 48 St,7066,20 Ave & 33 St,7226,40.772899,-73.896849,40.779399,-73.905708,member
144030,C685E758B49B7A93,docked_bike,2021-03-13 14:30:44,2021-03-13 14:33:17,Hazen St & 20 Ave,7032,20 Ave & 48 St,7066,40.772092,-73.895166,40.772899,-73.896849,member
182521,2C1299780F0F9BD9,docked_bike,2021-03-12 14:47:42,2021-03-12 14:55:06,21 Ave & Crescent St,7284,20 Ave & 48 St,7066,40.780478,-73.912212,40.772899,-73.896849,casual
182526,3940EEE5D1F869B2,docked_bike,2021-03-05 19:42:36,2021-03-05 19:48:08,21 Ave & Crescent St,7284,20 Ave & 48 St,7066,40.780478,-73.912212,40.772899,-73.896849,casual
182635,42C810FCDCDF7FDE,docked_bike,2021-03-23 19:19:53,2021-03-23 19:44:10,Queens Plaza North & Crescent St,6429,20 Ave & 48 St,7066,40.751101,-73.940737,40.772899,-73.896849,member
182636,2C1BD3D2877BA29A,docked_bike,2021-03-10 19:25:13,2021-03-10 19:48:26,24 St & 41 Ave,6505,20 Ave & 48 St,7066,40.752474,-73.939991,40.772899,-73.896849,member
182813,F2E42CFBA551EB5C,docked_bike,2021-03-07 11:45:38,2021-03-07 12:10:00,20 Ave & 48 St,7066,20 Ave & 48 St,7066,40.772899,-73.896849,40.772899,-73.896849,casual
182875,51DE83EAD5A3C8B9,docked_bike,2021-03-17 21:30:55,2021-03-17 21:43:27,20 Ave & 48 St,7066,20 Ave & 48 St,7066,40.772899,-73.896849,40.772899,-73.896849,member
