,ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual
88004,1D34D9C7DBED6473,classic_bike,2022-02-05 11:41:38,2022-02-05 12:04:23,18 St & 27 Ave,7062,24 Ave & 26 St,7152,40.772768286288304,-73.92743647098541,40.774591,-73.918544,casual
88006,17E6FB614600F986,classic_bike,2022-02-16 13:09:00,2022-02-16 13:37:59,McGuinness Blvd & Eagle St,5977,24 Ave & 26 St,7152,40.73555,-73.95284,40.774591,-73.918544,member
88055,5082B2CC719C699F,electric_bike,2022-02-08 13:55:16,2022-02-08 13:57:48,31 St & 23 Ave,7144,24 Ave & 26 St,7152,40.7747878,-73.9125551,40.774591,-73.918544,member
88066,73C2833D205D0438,classic_bike,2022-02-05 11:41:08,2022-02-05 12:03:47,18 St & 27 Ave,7062,24 Ave & 26 St,7152,40.772768286288304,-73.92743647098541,40.774591,-73.918544,casual
88118,2EE2C55DE7DE24DD,classic_bike,2022-02-17 12:59:24,2022-02-17 13:08:53,Steinway St & 19 Ave,7220,24 Ave & 26 St,7152,40.778089,-73.899558,40.774591,-73.918544,member
88130,07A1DA28E36947B7,classic_bike,2022-02-18 20:48:07,2022-02-18 21:19:58,31 Ave & 34 St,6819,24 Ave & 26 St,7152,40.763154,-73.920827,40.774591,-73.918544,member
88160,E7F575FFBE04AABF,classic_bike,2022-02-01 16:15:53,2022-02-01 16:34:07,38 St & Northern Blvd,6486,24 Ave & 26 St,7152,40.752372,-73.925384,40.774591,-73.918544,member
88226,6523180E35E8DD37,electric_bike,2022-02-03 07:59:27,2022-02-03 08:01:11,24 Ave & 29 St,7119,24 Ave & 26 St,7152,40.7729,-73.916142,40.774591,-73.918544,member
88233,C2F27449A8910D38,classic_bike,2022-02-21 17:51:43,2022-02-21 18:08:26,36 Ave & 10 St,6737,24 Ave & 26 St,7152,40.7614376,-73.9411265,40.774591,-73.918544,member
88238,0397F97779A12C7F,electric_bike,2022-02-23 14:33:04,2022-02-23 14:43:42,25 Ave & 41 St,6943,24 Ave & 26 St,7152,40.767666,-73.910963,40.774591,-73.918544,member
88301,80B2F5B9ADE49264,classic_bike,2022-02-05 11:41:38,2022-02-05 12:04:03,18 St & 27 Ave,7062,24 Ave & 26 St,7152,40.772768286288304,-73.92743647098541,40.774591,-73.918544,casual
88309,F95D196E4D377D97,classic_bike,2022-02-19 20:48:46,2022-02-19 20:52:23,31 St & 23 Ave,7144,24 Ave & 26 St,7152,40.7747878,-73.9125551,40.774591,-73.918544,member
88327,3BC637F8459C3093,classic_bike,2022-02-04 12:52:58,2022-02-04 13:12:00,31 Ave & 34 St,6819,24 Ave & 26 St,7152,40.763154,-73.920827,40.774591,-73.918544,member
88368,E8568D98A0B0D38B,classic_bike,2022-02-19 08:58:19,2022-02-19 09:11:13,36 Ave & 10 St,6737,24 Ave & 26 St,7152,40.7614376,-73.9411265,40.774591,-73.918544,member
88369,A9FCD2B89A9D59A2,classic_bike,2022-02-18 21:01:33,2022-02-18 21:17:42,36 Ave & 10 St,6737,24 Ave & 26 St,7152,40.7614376,-73.9411265,40.774591,-73.918544,member
88370,BA81449EE24DEB27,classic_bike,2022-02-28 11:01:55,2022-02-28 11:14:54,36 Ave & 10 St,6737,24 Ave & 26 St,7152,40.7614376,-73.9411265,40.774591,-73.918544,member
88371,ADE70BA299996C57,classic_bike,2022-02-20 11:00:22,2022-02-20 11:13:57,36 Ave & 10 St,6737,24 Ave & 26 St,7152,40.7614376,-73.9411265,40.774591,-73.918544,member
88372,34DDA18FC54E39BB,classic_bike,2022-02-03 18:32:47,2022-02-03 18:34:52,24 Ave & 29 St,7119,24 Ave & 26 St,7152,40.7729,-73.916142,40.774591,-73.918544,member
88373,6EE2C05E41FF8BF5,classic_bike,2022-02-23 21:29:03,2022-02-23 21:30:32,24 Ave & 29 St,7119,24 Ave & 26 St,7152,40.7729,-73.916142,40.774591,-73.918544,member
88384,014DBDA47495C24F,classic_bike,2022-02-20 17:01:44,2022-02-20 17:13:19,Vernon Blvd & 10 St,6937,24 Ave & 26 St,7152,40.7671863,-73.9373554,40.774591,-73.918544,casual
88388,118AA0DAB7ADFF42,classic_bike,2022-02-15 17:43:18,2022-02-15 17:48:09,31 St & 23 Ave,7144,24 Ave & 26 St,7152,40.7747878,-73.9125551,40.774591,-73.918544,member
88391,12C5C85BEBFFFD62,electric_bike,2022-02-15 01:21:13,2022-02-15 10:04:23,31 St & 23 Ave,7144,24 Ave & 26 St,7152,40.7747878,-73.9125551,40.774591,-73.918544,casual
88415,FB42FEB15B4A58F9,classic_bike,2022-02-17 13:15:04,2022-02-17 13:20:44,36 St & Ditmars Blvd,7111,24 Ave & 26 St,7152,40.774306,-73.908335,40.774591,-73.918544,member
88463,E56E7C22A879AAA5,classic_bike,2022-02-11 17:43:55,2022-02-11 18:02:13,Queens Plaza North & Crescent St,6429,24 Ave & 26 St,7152,40.75110165,-73.94073717,40.774591,-73.918544,member
88510,4FFD0F28107C6419,classic_bike,2022-02-02 18:00:59,2022-02-02 18:04:46,31 St & Hoyt Ave N,7018,24 Ave & 26 St,7152,40.7711528,-73.9170074,40.774591,-73.918544,member
88513,2CABD26534524F68,classic_bike,2022-02-26 23:54:25,2022-02-26 23:57:34,31 St & Hoyt Ave N,7018,24 Ave & 26 St,7152,40.7711528,-73.9170074,40.774591,-73.918544,member
88515,D881C552D189DF20,classic_bike,2022-02-11 13:22:21,2022-02-11 13:25:09,31 St & Hoyt Ave N,7018,24 Ave & 26 St,7152,40.7711528,-73.9170074,40.774591,-73.918544,member
88518,65B7913A4CB6ECC0,classic_bike,2022-02-09 18:39:31,2022-02-09 18:41:51,31 St & Hoyt Ave N,7018,24 Ave & 26 St,7152,40.7711528,-73.9170074,40.774591,-73.918544,member
88601,173E365EF6587559,classic_bike,2022-02-18 16:23:21,2022-02-18 17:10:31,Berry St & N 8 St,5379,24 Ave & 26 St,7152,40.7190095,-73.95852515,40.774591,-73.918544,casual
88673,12477567589DCC41,electric_bike,2022-02-06 22:28:03,2022-02-06 22:32:28,28 Ave & 35 St,6951,24 Ave & 26 St,7152,40.7671,-73.9169858,40.774591,-73.918544,member
88686,295F80D8876F472E,electric_bike,2022-02-09 18:28:36,2022-02-09 18:34:56,31 Ave & 34 St,6819,24 Ave & 26 St,7152,40.763154,-73.920827,40.774591,-73.918544,casual
88691,2FCEBC97F18AD200,classic_bike,2022-02-05 13:15:06,2022-02-05 13:21:56,31 Ave & Crescent St,6893,24 Ave & 26 St,7152,40.7658346,-73.9265474,40.774591,-73.918544,member
88692,404365F4144A9329,classic_bike,2022-02-11 18:04:18,2022-02-11 18:12:03,31 Ave & Crescent St,6893,24 Ave & 26 St,7152,40.7658346,-73.9265474,40.774591,-73.918544,member
89124,5D0B6209CAC88743,electric_bike,2022-02-10 15:32:52,2022-02-10 15:38:38,28 Ave & 35 St,6951,24 Ave & 26 St,7152,40.7671,-73.9169858,40.774591,-73.918544,member
89182,DC47A2AB52E097C3,electric_bike,2022-02-23 14:49:34,2022-02-23 15:10:32,27 Ave & 9 St,7098,24 Ave & 26 St,7152,40.7739825,-73.9309134,40.774591,-73.918544,casual
156312,F2F9ABF6BEFBC23D,classic_bike,2022-02-17 14:43:05,2022-02-17 15:06:25,44 Dr & Jackson Ave,6352,24 Ave & 26 St,7152,40.74718234,-73.9432635,40.774591,-73.918544,member
156313,BB743032BBBBBB65,classic_bike,2022-02-10 14:10:36,2022-02-10 14:35:23,44 Dr & Jackson Ave,6352,24 Ave & 26 St,7152,40.74718234,-73.9432635,40.774591,-73.918544,member
156331,B83586903B01E9DD,classic_bike,2022-02-11 07:50:35,2022-02-11 07:54:58,31 St & 21 Ave,7202,24 Ave & 26 St,7152,40.77813,-73.90842,40.774591,-73.918544,casual
156337,AFC7D10C923D0BB2,classic_bike,2022-02-27 07:46:40,2022-02-27 07:52:22,31 St & 21 Ave,7202,24 Ave & 26 St,7152,40.77813,-73.90842,40.774591,-73.918544,casual
156346,540D2BCA1E818D5B,classic_bike,2022-02-25 19:37:05,2022-02-25 19:40:05,31 St & 23 Ave,7144,24 Ave & 26 St,7152,40.7747878,-73.9125551,40.774591,-73.918544,member
156355,CA2700591A6E2683,classic_bike,2022-02-23 22:28:23,2022-02-23 22:32:53,21 St & 23 Ave,7210,24 Ave & 26 St,7152,40.778557,-73.919046,40.774591,-73.918544,member
156382,002A5EE45744DACC,classic_bike,2022-02-08 10:03:00,2022-02-08 10:05:40,Crescent St & Ditmars Blvd,7233,24 Ave & 26 St,7152,40.7787185,-73.9145645,40.774591,-73.918544,member
156489,2CF6A2B5C867113D,classic_bike,2022-02-27 18:25:20,2022-02-27 18:32:50,36 St & Ditmars Blvd,7111,24 Ave & 26 St,7152,40.774306,-73.908335,40.774591,-73.918544,member
156496,374E03ADAB095BB4,classic_bike,2022-02-18 18:02:40,2022-02-18 18:08:16,Ditmars Blvd & 19 St,7291,24 Ave & 26 St,7152,40.78145,-73.9183302,40.774591,-73.918544,member
156504,97DC2C9F393AD5E4,classic_bike,2022-02-03 17:59:20,2022-02-03 18:04:21,Ditmars Blvd & 19 St,7291,24 Ave & 26 St,7152,40.78145,-73.9183302,40.774591,-73.918544,member
156513,67E9658ACC308D15,classic_bike,2022-02-25 14:48:12,2022-02-25 14:54:46,25 Ave & 41 St,6943,24 Ave & 26 St,7152,40.767666,-73.910963,40.774591,-73.918544,member
156518,92AA6AFA8C8CD348,classic_bike,2022-02-04 09:53:44,2022-02-04 10:08:22,36 Ave & 10 St,6737,24 Ave & 26 St,7152,40.7614376,-73.9411265,40.774591,-73.918544,member
156521,7497F2826C9B67BF,electric_bike,2022-02-16 18:13:56,2022-02-16 18:26:23,35 Ave & 37 St,6563,24 Ave & 26 St,7152,40.7557327,-73.9236611,40.774591,-73.918544,member
156526,BEFFE86DD8D7BFAC,electric_bike,2022-02-02 14:43:09,2022-02-02 14:47:07,25 Ave & 41 St,6943,24 Ave & 26 St,7152,40.767666,-73.910963,40.774591,-73.918544,member
156527,5A52CE6F38476CE7,electric_bike,2022-02-18 16:33:31,2022-02-18 16:38:04,25 Ave & 41 St,6943,24 Ave & 26 St,7152,40.767666,-73.910963,40.774591,-73.918544,member
156540,7E78C274B63591D8,classic_bike,2022-02-18 18:55:13,2022-02-18 18:58:10,31 St & 23 Ave,7144,24 Ave & 26 St,7152,40.7747878,-73.9125551,40.774591,-73.918544,member
156569,FC386C8C81E0947D,classic_bike,2022-02-02 23:49:24,2022-02-02 23:52:11,31 St & Hoyt Ave N,7018,24 Ave & 26 St,7152,40.7711528,-73.9170074,40.774591,-73.918544,member
156572,B982B2976DC5597D,classic_bike,2022-02-27 00:41:19,2022-02-27 00:44:34,31 St & Hoyt Ave N,7018,24 Ave & 26 St,7152,40.7711528,-73.9170074,40.774591,-73.918544,casual
156580,9AC6370EFD758B98,classic_bike,2022-02-12 19:15:44,2022-02-12 19:27:32,31 St & Hoyt Ave N,7018,24 Ave & 26 St,7152,40.7711528,-73.9170074,40.774591,-73.918544,member
156581,CB35DC6F80857611,classic_bike,2022-02-24 20:59:27,2022-02-24 21:02:09,31 St & Hoyt Ave N,7018,24 Ave & 26 St,7152,40.7711528,-73.9170074,40.774591,-73.918544,member
156582,7FAF2448C2D0A511,classic_bike,2022-02-01 23:33:00,2022-02-01 23:36:12,31 St & Hoyt Ave N,7018,24 Ave & 26 St,7152,40.7711528,-73.9170074,40.774591,-73.918544,member
156584,7F55011F180506C3,classic_bike,2022-02-09 18:18:31,2022-02-09 18:21:53,31 St & Hoyt Ave N,7018,24 Ave & 26 St,7152,40.7711528,-73.9170074,40.774591,-73.918544,member
156591,36DB1111FE07829B,classic_bike,2022-02-11 19:34:41,2022-02-11 19:38:34,31 St & Hoyt Ave N,7018,24 Ave & 26 St,7152,40.7711528,-73.9170074,40.774591,-73.918544,member
156592,919DDB10FFF73CC6,electric_bike,2022-02-03 16:26:19,2022-02-03 16:28:59,35 St & 23 Ave,7047,24 Ave & 26 St,7152,40.77301508291382,-73.91119033098221,40.774591,-73.918544,member
156613,FBC513B6944D95A5,classic_bike,2022-02-17 12:12:45,2022-02-17 12:23:54,35 St & 30 Ave,6887,24 Ave & 26 St,7152,40.76547569244953,-73.91811579465866,40.774591,-73.918544,casual
156640,E2AA1230D6B8732F,electric_bike,2022-02-12 19:59:24,2022-02-12 20:10:20,35 Ave & 10 St,6806,24 Ave & 26 St,7152,40.76315481910373,-73.93985509872437,40.774591,-73.918544,casual
156663,A4EE3D3CE83590F3,electric_bike,2022-02-12 12:36:59,2022-02-12 12:50:50,Queens Plaza North & Crescent St,6429,24 Ave & 26 St,7152,40.75110165,-73.94073717,40.774591,-73.918544,casual
156668,C2E6AECA3A420F01,electric_bike,2022-02-17 17:03:06,2022-02-17 17:10:01,31 St & Broadway,6789,24 Ave & 26 St,7152,40.761584,-73.925921,40.774591,-73.918544,member
156670,BB976C61F9762083,classic_bike,2022-02-23 12:13:12,2022-02-23 12:28:04,9 St & 44 Rd,6361,24 Ave & 26 St,7152,40.74966,-73.9521,40.774591,-73.918544,member
156671,F442ABD08D07A1A7,electric_bike,2022-02-10 16:19:19,2022-02-10 16:29:36,Queens Plaza North & Crescent St,6429,24 Ave & 26 St,7152,40.75110165,-73.94073717,40.774591,-73.918544,member
156694,FBD606F629121163,electric_bike,2022-02-17 20:18:21,2022-02-17 20:21:28,31 St & 23 Ave,7144,24 Ave & 26 St,7152,40.7747878,-73.9125551,40.774591,-73.918544,member
156695,555B5D69ECB01F9C,electric_bike,2022-02-05 01:36:23,2022-02-05 01:39:20,31 St & 23 Ave,7144,24 Ave & 26 St,7152,40.7747878,-73.9125551,40.774591,-73.918544,casual
156696,77A5681A947A2A20,classic_bike,2022-02-19 01:00:40,2022-02-19 01:06:36,31 St & 23 Ave,7144,24 Ave & 26 St,7152,40.7747878,-73.9125551,40.774591,-73.918544,casual
156697,4671043CF94D5D0B,electric_bike,2022-02-16 00:47:20,2022-02-16 00:49:49,31 St & 23 Ave,7144,24 Ave & 26 St,7152,40.7747878,-73.9125551,40.774591,-73.918544,casual
156699,A0BCC58DBF3E3EBF,electric_bike,2022-02-02 00:49:28,2022-02-02 00:52:35,31 St & 23 Ave,7144,24 Ave & 26 St,7152,40.7747878,-73.9125551,40.774591,-73.918544,casual
156700,F1D1522BD676B2B0,classic_bike,2022-02-27 01:23:16,2022-02-27 01:28:35,31 St & 23 Ave,7144,24 Ave & 26 St,7152,40.7747878,-73.9125551,40.774591,-73.918544,casual
156738,6CF5E7AC90E6A096,classic_bike,2022-02-02 17:16:21,2022-02-02 18:09:52,38 St & Northern Blvd,6486,24 Ave & 26 St,7152,40.752372,-73.925384,40.774591,-73.918544,member
156743,B4BEBA16F2709494,electric_bike,2022-02-20 14:00:40,2022-02-20 14:10:45,36 Ave & 31 St,6572,24 Ave & 26 St,7152,40.75651272984955,-73.92957486212252,40.774591,-73.918544,member
156778,36BDA07BFE588E8C,electric_bike,2022-02-16 15:27:33,2022-02-16 16:13:55,University Pl & E 14 St,5905,24 Ave & 26 St,7152,40.734814,-73.992085,40.774591,-73.918544,member
156793,BCA522DD5A5905EF,classic_bike,2022-02-17 16:29:43,2022-02-17 16:53:50,45 Rd & 11 St,6319,24 Ave & 26 St,7152,40.74708586,-73.94977234,40.774591,-73.918544,member
156801,A50D75605A4EE79B,classic_bike,2022-02-12 19:19:18,2022-02-12 19:27:37,31 St & Hoyt Ave N,7018,24 Ave & 26 St,7152,40.7711528,-73.9170074,40.774591,-73.918544,casual
156813,E426C8F296283896,electric_bike,2022-02-08 07:51:02,2022-02-08 07:54:52,31 St & 21 Ave,7202,24 Ave & 26 St,7152,40.77813,-73.90842,40.774591,-73.918544,casual
156825,D352C542FE53D666,classic_bike,2022-02-11 18:21:03,2022-02-11 18:27:53,18 St & 27 Ave,7062,24 Ave & 26 St,7152,40.772768286288304,-73.92743647098541,40.774591,-73.918544,member
156852,CDA68C726074392B,classic_bike,2022-02-04 19:51:23,2022-02-04 19:54:10,31 St & Hoyt Ave N,7018,24 Ave & 26 St,7152,40.7711528,-73.9170074,40.774591,-73.918544,member
156853,7776456977B42295,classic_bike,2022-02-21 17:32:10,2022-02-21 17:34:44,31 St & Hoyt Ave N,7018,24 Ave & 26 St,7152,40.7711528,-73.9170074,40.774591,-73.918544,member
156855,73CB1FE908A54150,classic_bike,2022-02-26 15:26:06,2022-02-26 15:31:46,31 St & Hoyt Ave N,7018,24 Ave & 26 St,7152,40.7711528,-73.9170074,40.774591,-73.918544,member
156857,9D3F7286AC2ECFAE,classic_bike,2022-02-25 00:21:12,2022-02-25 00:24:05,31 St & Hoyt Ave N,7018,24 Ave & 26 St,7152,40.7711528,-73.9170074,40.774591,-73.918544,member
156858,BAC5002A5C30C7FB,classic_bike,2022-02-08 13:26:56,2022-02-08 13:29:51,31 St & Hoyt Ave N,7018,24 Ave & 26 St,7152,40.7711528,-73.9170074,40.774591,-73.918544,casual
156859,CBD76E610492628B,classic_bike,2022-02-26 15:25:54,2022-02-26 15:31:55,31 St & Hoyt Ave N,7018,24 Ave & 26 St,7152,40.7711528,-73.9170074,40.774591,-73.918544,casual
156870,BB6AE0F2F69BA2E5,classic_bike,2022-02-18 12:59:15,2022-02-18 13:12:40,38 Ave & 29 St,6538,24 Ave & 26 St,7152,40.75473,-73.93367,40.774591,-73.918544,member
156875,3FD0F3937D9DE2EC,electric_bike,2022-02-17 12:35:45,2022-02-17 12:38:34,31 St & 23 Ave,7144,24 Ave & 26 St,7152,40.7747878,-73.9125551,40.774591,-73.918544,member
156921,A09AFFCA5161CA71,classic_bike,2022-02-21 17:10:43,2022-02-21 17:38:02,46 Ave & 5 St,6286,24 Ave & 26 St,7152,40.74731,-73.95451,40.774591,-73.918544,casual
156962,F8557EECDAA8EE65,classic_bike,2022-02-06 01:54:20,2022-02-06 01:57:01,31 St & Hoyt Ave N,7018,24 Ave & 26 St,7152,40.7711528,-73.9170074,40.774591,-73.918544,member
156963,20D0B1404D2E874D,classic_bike,2022-02-18 23:22:33,2022-02-18 23:25:44,31 St & Hoyt Ave N,7018,24 Ave & 26 St,7152,40.7711528,-73.9170074,40.774591,-73.918544,member
157088,FA5B23F84CF29330,classic_bike,2022-02-21 17:10:18,2022-02-21 17:38:05,46 Ave & 5 St,6286,24 Ave & 26 St,7152,40.74731,-73.95451,40.774591,-73.918544,member
157092,D9E1DE0E95BAF243,classic_bike,2022-02-12 12:46:18,2022-02-12 12:56:11,21 St & 31 Dr,6865,24 Ave & 26 St,7152,40.7659,-73.930819,40.774591,-73.918544,member
157110,47806CD9F8723F85,classic_bike,2022-02-02 16:01:03,2022-02-02 16:04:19,23 Rd & 31 St,7082,24 Ave & 26 St,7152,40.77336750284339,-73.91382560133934,40.774591,-73.918544,member
157123,644562D60CF12570,electric_bike,2022-02-12 17:05:04,2022-02-12 17:27:58,W 52 St & 6 Ave,6740,24 Ave & 26 St,7152,40.76132983124814,-73.97982001304626,40.774591,-73.918544,member
157126,88AD0918461E83CF,electric_bike,2022-02-25 16:03:16,2022-02-25 16:27:52,1 Ave & E 30 St,6079,24 Ave & 26 St,7152,40.74144387,-73.97536082,40.774591,-73.918544,member
