,Unnamed: 0,ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual,step
0,4567,F79DE673BB53B3E6,docked_bike,2021-05-30 00:27:35,2021-05-30 00:34:37,Weeks Ave & E 175 St,8340,Walton Ave & E 168 St,8179.0,40.846879,-73.907342,40.83649,-73.918316,casual,-1
1,15003,036B4C5063B4268C,docked_bike,2021-05-27 16:28:56,2021-05-27 16:52:26,Amsterdam Ave & W 156 St,8104,Weeks Ave & E 175 St,8340.0,40.832081,-73.942386,40.846879,-73.907342,member,1
2,16741,A96A0369174C311E,docked_bike,2021-05-31 20:27:52,2021-05-31 20:42:55,Grand Concourse & E 164 St,8057,Weeks Ave & E 175 St,8340.0,40.829608,-73.921461,40.846879,-73.907342,casual,1
3,17557,E0EC76E8E416C5F6,docked_bike,2021-05-28 14:07:24,2021-05-28 14:31:23,Weeks Ave & E 175 St,8340,Weeks Ave & E 175 St,8340.0,40.846879,-73.907342,40.846879,-73.907342,casual,0
4,17667,DEEDCD4705A0609E,docked_bike,2021-05-26 15:12:57,2021-05-26 16:12:23,University Pl & E 8 St,5755,Weeks Ave & E 175 St,8340.0,40.731437,-73.994903,40.846879,-73.907342,member,1
5,17706,6294E97537CBA2DC,docked_bike,2021-05-31 11:11:21,2021-05-31 11:12:07,Weeks Ave & E 175 St,8340,Weeks Ave & E 175 St,8340.0,40.846879,-73.907342,40.846879,-73.907342,casual,0
6,66639,1C7CF00E999351D9,docked_bike,2021-05-28 17:23:37,2021-05-28 17:33:39,Weeks Ave & E 175 St,8340,Boston Rd & E 167 St,8048.0,40.846879,-73.907342,40.828199,-73.903719,casual,-1
7,79728,ED1CAB2148B6C33D,docked_bike,2021-05-26 14:21:22,2021-05-26 14:39:10,Weeks Ave & E 175 St,8340,Concourse Village West & E 156 St,7962.0,40.846879,-73.907342,40.823162,-73.923267,casual,-1
8,81674,FD0A4D56268C0E60,docked_bike,2021-05-28 10:36:15,2021-05-28 10:43:12,Weeks Ave & E 175 St,8340,Plaza Dr & W 170 St,8213.0,40.846879,-73.907342,40.840484,-73.917946,member,-1
9,149709,C0A8A6C7EFAF739B,docked_bike,2021-05-28 15:08:10,2021-05-28 15:23:37,Weeks Ave & E 175 St,8340,Jerome Ave & W Fordham Rd,8586.0,40.846879,-73.907342,40.86294,-73.90108,casual,-1
10,150549,5B5D98DD8D091099,docked_bike,2021-05-31 16:08:06,2021-05-31 16:13:20,Weeks Ave & E 175 St,8340,Grand Concourse & E 171 St,8194.0,40.846879,-73.907342,40.839549,-73.913004,casual,-1
11,151367,725B13A6388B15EE,docked_bike,2021-05-28 15:07:49,2021-05-28 15:23:35,Weeks Ave & E 175 St,8340,Jerome Ave & W Fordham Rd,8586.0,40.846879,-73.907342,40.86294,-73.90108,casual,-1
