,ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual
34614,BAB2D0A75C499484,electric_bike,2021-11-19 08:00:49,2021-11-19 08:25:27,Bainbridge Ave & Bedford Park Blvd,8682,Hunts Point Ave & Bryant Ave,7820,40.87002,-73.88565,40.813991,-73.8855,casual
132935,45A90342128A1457,classic_bike,2021-11-03 18:49:34,2021-11-03 18:59:50,Hunts Point Ave & Bryant Ave,7820,Southern Blvd & Avenue St. John,7767,40.813991,-73.8855,40.812769,-73.901583,casual
132938,CDA4122A34E69572,electric_bike,2021-11-19 22:44:47,2021-11-19 22:52:51,Hunts Point Ave & Bryant Ave,7820,Southern Blvd & Avenue St. John,7767,40.813991,-73.8855,40.812769,-73.901583,casual
133106,05C33B2C0A883DD5,electric_bike,2021-11-18 18:34:31,2021-11-18 18:46:08,Hunts Point Ave & Bryant Ave,7820,Southern Blvd & Avenue St. John,7767,40.813991,-73.8855,40.812769,-73.901583,casual
133108,AA1DF870456D0562,electric_bike,2021-11-04 17:36:52,2021-11-04 17:43:42,Hunts Point Ave & Bryant Ave,7820,Southern Blvd & Avenue St. John,7767,40.813991,-73.8855,40.812769,-73.901583,casual
286800,5D60DE099269DFAA,electric_bike,2021-11-22 16:31:25,2021-11-22 16:41:36,Hunts Point Ave & Bryant Ave,7820,3 Ave & E 169 St,8103,40.813991,-73.8855,40.832678,-73.905158,member
316442,80EB673AF99CF854,electric_bike,2021-11-18 14:19:44,2021-11-18 14:38:51,Hunts Point Ave & Bryant Ave,7820,Washington Ave & E 163 St,7995,40.813991,-73.8855,40.824,-73.91089,member
386587,1615FDCC90BEBF13,electric_bike,2021-11-02 17:21:21,2021-11-02 17:36:42,Hunts Point Ave & Bryant Ave,7820,Brook Ave & E 141 St,7740,40.813991,-73.8855,40.809619,-73.917875,casual
481084,30E1272992DAF8FE,electric_bike,2021-11-20 17:16:49,2021-11-20 17:24:32,Hunts Point Ave & Bryant Ave,7820,Bruckner Blvd & Bryant Ave,7944,40.813991,-73.8855,40.821952,-73.888546,member
543562,581A81EEA7D633DA,electric_bike,2021-11-15 14:56:06,2021-11-15 15:12:40,Hunts Point Ave & Bryant Ave,7820,3 Ave & E 163 St,7974,40.813991,-73.8855,40.823872,-73.908699,member
582762,74C5070D1A2B258F,electric_bike,2021-11-01 17:56:28,2021-11-01 18:09:02,Hunts Point Ave & Bryant Ave,7820,Southern Blvd & E 174 St,8163,40.813991,-73.8855,40.836733,-73.887931,casual
606076,B1331D6A802FB8F2,electric_bike,2021-11-24 16:04:19,2021-11-24 16:16:04,Hunts Point Ave & Bryant Ave,7820,Fulton Ave & E 168 St,8084,40.813991,-73.8855,40.830471,-73.904556,member
642292,0D66A7C0F6F713F4,electric_bike,2021-11-04 13:08:35,2021-11-04 13:56:03,Wadsworth Ave & W 175 St,8299,Hunts Point Ave & Bryant Ave,7820,40.846052,-73.937648,40.813991,-73.8855,casual
643247,625B032B2482FD50,electric_bike,2021-11-10 16:04:39,2021-11-10 16:13:43,Cauldwell Ave & E 158 St,7913,Hunts Point Ave & Bryant Ave,7820,40.81989,-73.908351,40.813991,-73.8855,member
644650,0D501CB7DBF2A802,electric_bike,2021-11-01 17:37:45,2021-11-01 17:40:57,Garrison Ave & Manida St,7905,Hunts Point Ave & Bryant Ave,7820,40.818743,-73.890247,40.813991,-73.8855,casual
644725,EE5C0B66FF9F1309,electric_bike,2021-11-21 18:16:05,2021-11-21 18:23:47,E 165 St & Fox St,7966,Hunts Point Ave & Bryant Ave,7820,40.82394,-73.894025,40.813991,-73.8855,member
644759,DE89E12BD0F1D868,classic_bike,2021-11-11 17:17:30,2021-11-11 18:03:09,Prospect Ave & Longwood Ave,7870,Hunts Point Ave & Bryant Ave,7820,40.81899,-73.90202,40.813991,-73.8855,casual
644906,CB037A157254F20F,electric_bike,2021-11-24 11:20:47,2021-11-24 11:32:06,Washington Ave & E 163 St,7995,Hunts Point Ave & Bryant Ave,7820,40.824,-73.91089,40.813991,-73.8855,member
645919,187DBAB1A86D4DC4,electric_bike,2021-11-29 07:52:02,2021-11-29 07:59:58,E 163 St & Union Ave,7970,Hunts Point Ave & Bryant Ave,7820,40.822545,-73.901824,40.813991,-73.8855,member
646341,A39F0094B6EA8B5F,electric_bike,2021-11-18 15:22:52,2021-11-18 15:43:58,Barry St & Tiffany St,7844,Hunts Point Ave & Bryant Ave,7820,40.816126,-73.891559,40.813991,-73.8855,member
646413,FF5EE369E298DC14,electric_bike,2021-11-12 15:13:25,2021-11-12 15:25:01,Crotona Park North & Prospect Ave,8236,Hunts Point Ave & Bryant Ave,7820,40.841092,-73.892317,40.813991,-73.8855,casual
647838,C31AB4A58D94DFB2,electric_bike,2021-11-14 15:49:25,2021-11-14 15:59:17,Southern Blvd & Avenue St. John,7767,Hunts Point Ave & Bryant Ave,7820,40.812769,-73.901583,40.813991,-73.8855,casual
648819,23989D12BFBCAFB9,electric_bike,2021-11-23 23:01:36,2021-11-23 23:09:18,St Ann's Ave & Westchester Ave,7835,Hunts Point Ave & Bryant Ave,7820,40.815887,-73.911918,40.813991,-73.8855,member
649049,BB1F5C15EFAD8E9C,electric_bike,2021-11-22 16:15:47,2021-11-22 16:28:01,Waterloo Pl & Crotona Park East,8216,Hunts Point Ave & Bryant Ave,7820,40.839194,-73.888587,40.813991,-73.8855,member
651893,CF9318ECD04EDB7A,electric_bike,2021-11-21 22:04:36,2021-11-21 22:09:43,E 163 St & Union Ave,7970,Hunts Point Ave & Bryant Ave,7820,40.822545,-73.901824,40.813991,-73.8855,member
651991,B038A621AC13C81F,electric_bike,2021-11-01 16:52:16,2021-11-01 16:52:41,Hunts Point Ave & Bryant Ave,7820,Hunts Point Ave & Bryant Ave,7820,40.813991,-73.8855,40.813991,-73.8855,member
652013,A4B66253AC88807F,classic_bike,2021-11-18 14:19:14,2021-11-18 14:19:15,Hunts Point Ave & Bryant Ave,7820,Hunts Point Ave & Bryant Ave,7820,40.813991,-73.8855,40.813991,-73.8855,member
652014,966EA8E2DD05BB1F,classic_bike,2021-11-18 14:18:48,2021-11-18 14:18:50,Hunts Point Ave & Bryant Ave,7820,Hunts Point Ave & Bryant Ave,7820,40.813991,-73.8855,40.813991,-73.8855,member
652015,BB7BC0A9988FA28E,classic_bike,2021-11-18 14:18:32,2021-11-18 14:18:33,Hunts Point Ave & Bryant Ave,7820,Hunts Point Ave & Bryant Ave,7820,40.813991,-73.8855,40.813991,-73.8855,member
