,ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual
1654,608647C215909D79,electric_bike,2021-11-21 11:31:48,2021-11-21 12:08:11,E 155 St & Courtlandt Ave,7940,2 Ave & E 104 St,7436,40.82057,-73.917579,40.7892105,-73.94370784,casual
1891,D1384A1C24546F53,electric_bike,2021-11-26 13:48:23,2021-11-26 13:55:13,E 155 St & Courtlandt Ave,7940,W 147 St & Adam Clayton Powell Blvd,7971,40.82057,-73.917579,40.82281,-73.937413,member
1893,BE22C62D86461EAE,electric_bike,2021-11-20 12:56:47,2021-11-20 13:03:12,E 155 St & Courtlandt Ave,7940,W 147 St & Adam Clayton Powell Blvd,7971,40.82057,-73.917579,40.82281,-73.937413,member
14814,6ABC8A1097580CBB,electric_bike,2021-11-14 09:49:57,2021-11-14 09:52:52,E 155 St & Courtlandt Ave,7940,Washington Ave & E 163 St,7995,40.82057,-73.917579,40.824,-73.91089,casual
23019,B8BAFD10681D89D0,electric_bike,2021-11-06 02:18:07,2021-11-06 02:24:06,E 155 St & Courtlandt Ave,7940,E 149 St & Jackson Ave,7812,40.82057,-73.917579,40.813135,-73.909235,member
23822,8D0866352B1AB2DD,electric_bike,2021-11-21 17:00:54,2021-11-21 17:06:09,E 155 St & Courtlandt Ave,7940,E 149 St & Jackson Ave,7812,40.82057,-73.917579,40.813135,-73.909235,casual
28645,AD56F47A4C2F84F2,electric_bike,2021-11-07 07:25:57,2021-11-07 07:44:38,E 155 St & Courtlandt Ave,7940,Lenox Ave & W 111 St,7602,40.82057,-73.917579,40.7987859,-73.9523,casual
34817,276A7E247640E4A4,classic_bike,2021-11-06 20:19:36,2021-11-06 20:24:20,E 155 St & Courtlandt Ave,7940,Brook Ave & E 157 St,7935,40.82057,-73.917579,40.820713,-73.911759,member
69077,B57F33F4BC45F301,electric_bike,2021-11-08 22:44:33,2021-11-08 22:57:52,E 155 St & Courtlandt Ave,7940,Morris Ave & E 153 St,7901,40.82057,-73.917579,40.820036,-73.921411,casual
69175,154F51D4E7E9830D,electric_bike,2021-11-18 08:29:08,2021-11-19 09:29:03,E 155 St & Courtlandt Ave,7940,,nan,40.82057,-73.917579,,,casual
69179,DA132B0B81F50988,classic_bike,2021-11-02 20:49:00,2021-11-02 20:57:58,E 155 St & Courtlandt Ave,7940,Morris Ave & E 153 St,7901,40.82057,-73.917579,40.820036,-73.921411,casual
84844,B1BD85CF88CCD2EC,electric_bike,2021-11-26 16:11:15,2021-11-26 16:15:47,E 155 St & Courtlandt Ave,7940,Westchester Ave & E 156 St,7891,40.82057,-73.917579,40.817802,-73.905203,casual
99945,D5E0B2162E71A227,classic_bike,2021-11-18 17:03:21,2021-11-18 17:10:41,E 155 St & Courtlandt Ave,7940,E 149 St & Morris Ave,7863,40.82057,-73.917579,40.81734,-73.922962,member
104713,D75778FDB3010E72,electric_bike,2021-11-25 13:55:30,2021-11-25 14:57:06,E 155 St & Courtlandt Ave,7940,E 149 St & Morris Ave,7863,40.82057,-73.917579,40.81734,-73.922962,member
115276,34BA95DC8A200A84,electric_bike,2021-11-14 15:07:28,2021-11-14 15:08:38,E 155 St & Courtlandt Ave,7940,Courtlandt Ave & E 157 St,7979,40.82057,-73.917579,40.822267,-73.916792,member
115452,CC32A030CC745B76,classic_bike,2021-11-20 01:42:14,2021-11-20 01:50:42,E 155 St & Courtlandt Ave,7940,Jerome Ave & Ogden Ave,8081,40.82057,-73.917579,40.829797,-73.931015,casual
115454,B7DC8D4914D32C2D,classic_bike,2021-11-21 20:51:52,2021-11-21 20:52:54,E 155 St & Courtlandt Ave,7940,Courtlandt Ave & E 157 St,7979,40.82057,-73.917579,40.822267,-73.916792,member
116945,0A701CB5D2D976DF,classic_bike,2021-11-01 09:23:09,2021-11-01 09:25:29,E 155 St & Courtlandt Ave,7940,Courtlandt Ave & E 157 St,7979,40.82057,-73.917579,40.822267,-73.916792,member
124642,9C235207037BE013,electric_bike,2021-11-22 22:14:05,2021-11-22 22:28:49,E 155 St & Courtlandt Ave,7940,Adam Clayton Powell Blvd & W 130 St,7774,40.82057,-73.917579,40.812346,-73.946168,casual
152346,A3F5C557B0F7F6C1,electric_bike,2021-11-22 22:17:43,2021-11-22 22:24:23,E 155 St & Courtlandt Ave,7940,E 161 St & River Ave,8041,40.82057,-73.917579,40.827883,-73.927111,casual
152349,B23A5DAFF14054C9,classic_bike,2021-11-18 15:46:13,2021-11-18 15:54:49,E 155 St & Courtlandt Ave,7940,E 161 St & River Ave,8041,40.82057,-73.917579,40.827883,-73.927111,member
152414,A1AC48482DD30B1F,electric_bike,2021-11-16 14:15:45,2021-11-16 14:21:38,E 155 St & Courtlandt Ave,7940,E 149 St & Park Ave,7884,40.82057,-73.917579,40.818154,-73.925294,member
153442,00F40920A983C75C,electric_bike,2021-11-20 13:56:43,2021-11-20 14:00:33,E 155 St & Courtlandt Ave,7940,E 149 St & Park Ave,7884,40.82057,-73.917579,40.818154,-73.925294,casual
154065,247D8C222A1C950E,classic_bike,2021-11-12 18:24:25,2021-11-12 18:38:04,E 155 St & Courtlandt Ave,7940,E 161 St & River Ave,8041,40.82057,-73.917579,40.827883,-73.927111,member
155355,9007D11F613BC605,classic_bike,2021-11-12 19:09:40,2021-11-12 19:15:22,E 155 St & Courtlandt Ave,7940,E 149 St & Park Ave,7884,40.82057,-73.917579,40.818154,-73.925294,casual
156322,FF127EEAFFEE2913,electric_bike,2021-11-04 14:15:37,2021-11-04 14:18:39,E 155 St & Courtlandt Ave,7940,E 149 St & Park Ave,7884,40.82057,-73.917579,40.818154,-73.925294,member
156325,58322B9F5823B7F8,electric_bike,2021-11-03 20:03:58,2021-11-03 20:07:02,E 155 St & Courtlandt Ave,7940,E 149 St & Park Ave,7884,40.82057,-73.917579,40.818154,-73.925294,casual
157698,7D76072F4637DD61,electric_bike,2021-11-03 19:52:26,2021-11-03 19:56:44,Cauldwell Ave & E 158 St,7913,E 155 St & Courtlandt Ave,7940,40.81989,-73.908351,40.82057,-73.917579,casual
157869,05D237E985238113,electric_bike,2021-11-05 08:16:01,2021-11-05 08:18:11,E 155 St & Courtlandt Ave,7940,E 155 St & Courtlandt Ave,7940,40.82057,-73.917579,40.82057,-73.917579,member
157876,40D1348743621A0D,electric_bike,2021-11-15 17:43:37,2021-11-15 18:04:04,E 155 St & Courtlandt Ave,7940,E 155 St & Courtlandt Ave,7940,40.82057,-73.917579,40.82057,-73.917579,casual
157975,7411240461B440FA,classic_bike,2021-11-22 22:07:07,2021-11-22 22:12:38,E 155 St & Courtlandt Ave,7940,E 155 St & Courtlandt Ave,7940,40.82057,-73.917579,40.82057,-73.917579,casual
157994,626AB3D859E86092,electric_bike,2021-11-20 12:55:57,2021-11-20 12:56:20,E 155 St & Courtlandt Ave,7940,E 155 St & Courtlandt Ave,7940,40.82057,-73.917579,40.82057,-73.917579,member
157995,9215FF5CC4C22B98,electric_bike,2021-11-20 12:55:13,2021-11-20 12:55:34,E 155 St & Courtlandt Ave,7940,E 155 St & Courtlandt Ave,7940,40.82057,-73.917579,40.82057,-73.917579,member
158027,DB04746696F7562B,electric_bike,2021-11-05 15:15:10,2021-11-05 15:17:36,Melrose Ave & E 154 St,7918,E 155 St & Courtlandt Ave,7940,40.819609,-73.916071,40.82057,-73.917579,member
158135,C5E1E6FE2229FC86,electric_bike,2021-11-09 19:36:40,2021-11-09 19:47:08,Pleasant Ave & E 120 St,7579,E 155 St & Courtlandt Ave,7940,40.7974772,-73.9311847,40.82057,-73.917579,member
158355,FA9F650CDE14A4AD,electric_bike,2021-11-26 15:56:17,2021-11-26 16:06:15,E 155 St & Courtlandt Ave,7940,E 155 St & Courtlandt Ave,7940,40.82057,-73.917579,40.82057,-73.917579,casual
158435,8953D4AEB931338D,electric_bike,2021-11-15 14:15:15,2021-11-15 14:15:35,E 155 St & Courtlandt Ave,7940,E 155 St & Courtlandt Ave,7940,40.82057,-73.917579,40.82057,-73.917579,casual
