,ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual
9553,1994B361CB6F3D52,docked_bike,2021-06-09 15:49:17,2021-06-09 16:20:29,Caton Ave & E 10 St,3230,Baltic St & 5 Ave,4208,40.648481,-73.97058,40.6795766,-73.97854971,member
11122,CF242AA83223AF07,electric_bike,2021-06-12 21:20:57,2021-06-12 21:41:10,Caton Ave & E 10 St,3230,West Drive & Prospect Park West,3651,40.648481,-73.97058,40.6610633719006,-73.97945255041122,casual
21753,89ADE6412EC9E869,docked_bike,2021-06-03 07:37:14,2021-06-03 07:40:53,Prospect Park SW & Vanderbilt St,3457,Caton Ave & E 10 St,3230,40.65482,-73.973217,40.648481,-73.97058,member
21779,93876C83EEC0A51E,classic_bike,2021-06-27 01:30:25,2021-06-27 01:42:50,10 St & 5 Ave,3842,Caton Ave & E 10 St,3230,40.6686273,-73.98700053,40.648481,-73.97058,member
21798,46D64ED86CC5BF37,electric_bike,2021-06-26 16:00:06,2021-06-26 17:09:32,Jackson Ave & 46 Rd,6203,Caton Ave & E 10 St,3230,40.74524768,-73.94733276,40.648481,-73.97058,casual
21808,058DBD7163D1B62D,docked_bike,2021-06-16 20:47:49,2021-06-16 20:55:17,Caton Ave & E 7 St,3199,Caton Ave & E 10 St,3230,40.647718,-73.973663,40.648481,-73.97058,member
22036,5E35BC5A5811BA13,classic_bike,2021-06-26 00:51:46,2021-06-26 01:44:09,Bedford Ave & Bergen St,4066,Caton Ave & E 10 St,3230,40.676368,-73.952918,40.648481,-73.97058,casual
22219,4E75CCE401B40AD1,classic_bike,2021-06-20 20:49:58,2021-06-20 21:12:11,24 St & 5 Ave,3555,Caton Ave & E 10 St,3230,40.659555,-73.995068,40.648481,-73.97058,casual
22283,6D91978AD7699358,classic_bike,2021-06-26 15:58:33,2021-06-26 16:11:00,Prospect Park SW & 16 St,3498,Caton Ave & E 10 St,3230,40.657265,-73.974165,40.648481,-73.97058,casual
22295,0E67EC0958AA5860,classic_bike,2021-06-24 19:25:44,2021-06-24 19:48:05,Eastern Pkwy & Washington Ave,3928,Caton Ave & E 10 St,3230,40.6716493,-73.9631145,40.648481,-73.97058,casual
23528,7E503C0CB4086333,docked_bike,2021-06-17 19:39:15,2021-06-17 20:00:54,3 St & 3 Ave,4028,Caton Ave & E 10 St,3230,40.67507,-73.987752,40.648481,-73.97058,member
27994,B973856B306FCBF4,electric_bike,2021-06-07 17:21:15,2021-06-07 17:42:05,Caton Ave & E 10 St,3230,Parade Pl & Crooke Ave,3376,40.648481,-73.97058,40.651847,-73.965248,member
58722,535DE8BA866340D7,docked_bike,2021-06-04 23:05:25,2021-06-04 23:22:47,Caton Ave & E 10 St,3230,Bedford Ave & Montgomery St,3736,40.648481,-73.97058,40.665816,-73.956934,member
59681,D1FBBE122E5127B0,docked_bike,2021-06-10 19:37:18,2021-06-10 19:46:08,Caton Ave & E 10 St,3230,11 Ave & Prospect Ave,3538,40.648481,-73.97058,40.65629,-73.977335,member
59693,94A36AE1C5EFE057,classic_bike,2021-06-23 08:52:50,2021-06-23 09:00:46,Caton Ave & E 10 St,3230,11 Ave & Prospect Ave,3538,40.648481,-73.97058,40.65629,-73.977335,member
64771,E12CA8A94C5CA54A,electric_bike,2021-06-10 20:10:40,2021-06-10 20:48:31,Caton Ave & E 10 St,3230,Prospect Park SW & Greenwood Ave,3385,40.648481,-73.97058,40.652563,-73.972573,member
64778,7AB7F686F6F61031,docked_bike,2021-06-10 17:24:56,2021-06-10 19:25:44,Caton Ave & E 10 St,3230,Prospect Park SW & Greenwood Ave,3385,40.648481,-73.97058,40.652563,-73.972573,casual
64780,898BE606BC93111F,classic_bike,2021-06-28 17:05:50,2021-06-28 17:09:47,Caton Ave & E 10 St,3230,Prospect Park SW & Greenwood Ave,3385,40.648481,-73.97058,40.652563,-73.972573,casual
74327,480F668EEBF986AF,electric_bike,2021-06-13 02:12:36,2021-06-13 02:51:53,Lispenard St & Broadway,5391,Caton Ave & E 10 St,3230,40.719392,-74.002472,40.648481,-73.97058,casual
74376,5AE7569470BBF14D,electric_bike,2021-06-20 00:53:42,2021-06-20 01:08:14,Prospect Park West & 8 St,3722,Caton Ave & E 10 St,3230,40.665146,-73.976376,40.648481,-73.97058,member
74643,5EF3AAA4FCE453F0,docked_bike,2021-06-13 13:55:32,2021-06-13 14:36:48,Broadway & Madison St,4483,Caton Ave & E 10 St,3230,40.68822,-73.91966,40.648481,-73.97058,member
74702,CC1A31E2F1718C0B,electric_bike,2021-06-13 19:15:07,2021-06-13 19:31:04,4 Ave & 3 St,4028,Caton Ave & E 10 St,3230,40.673746,-73.985649,40.648481,-73.97058,member
74721,25A9BE016520C643,electric_bike,2021-06-25 01:46:29,2021-06-25 02:41:19,Driggs Ave & N Henry St,5542,Caton Ave & E 10 St,3230,40.72325,-73.94308,40.648481,-73.97058,member
74824,FB2A5C82CC4FCAF9,classic_bike,2021-06-26 14:20:25,2021-06-26 14:37:28,Grand Army Plaza & Plaza St West,4010,Caton Ave & E 10 St,3230,40.6729679,-73.97087984,40.648481,-73.97058,casual
74940,C9F5E065F9E91CDA,classic_bike,2021-06-24 18:43:07,2021-06-24 19:02:08,3 St & Prospect Park West,3865,Caton Ave & E 10 St,3230,40.668132,-73.97363831,40.648481,-73.97058,casual
89100,3E96E315EED0C1BF,electric_bike,2021-06-25 07:33:21,2021-06-25 08:24:55,Caton Ave & E 10 St,3230,E 51 St & 2 Ave,6575,40.648481,-73.97058,40.755293,-73.967641,member
