,ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual
9721,6D4F3C4E14F07D80,electric_bike,2021-12-15 16:14:50,2021-12-15 16:25:44,38 St & Northern Blvd,6486,31 Ave & 61 St,6654,40.752372,-73.925384,40.757525,-73.901614,casual
9742,6474EE57D5A8F0F1,electric_bike,2021-12-01 16:04:27,2021-12-01 16:10:53,38 St & Northern Blvd,6486,31 Ave & 61 St,6654,40.752372,-73.925384,40.757525,-73.901614,casual
9768,FB84F5FB2E0C56F1,electric_bike,2021-12-22 16:10:05,2021-12-22 16:18:50,38 St & Northern Blvd,6486,31 Ave & 61 St,6654,40.752372,-73.925384,40.757525,-73.901614,casual
11746,15FAC5BCEBF7DD1F,electric_bike,2021-12-21 10:53:40,2021-12-21 11:03:27,31 Ave & 61 St,6654,31 St & Astoria Blvd,6989,40.757525,-73.901614,40.7699176,-73.9184057,member
18530,CB5B200DDE7D9DA3,classic_bike,2021-12-30 14:10:54,2021-12-30 14:20:30,31 Ave & 61 St,6654,31 Ave & Steinway St,6782,40.757525,-73.901614,40.7611488,-73.9170071,member
25771,20EC5CC85D87C0BA,classic_bike,2021-12-12 08:39:24,2021-12-12 09:24:23,31 Ave & 61 St,6654,31 Ave & 57 St,6621,40.757525,-73.901614,40.757357,-73.904726,member
25772,9527FED3C0B998B1,classic_bike,2021-12-12 08:27:47,2021-12-12 08:29:37,31 Ave & 61 St,6654,31 Ave & 57 St,6621,40.757525,-73.901614,40.757357,-73.904726,member
25773,EB5C99B7E9EDBCA3,classic_bike,2021-12-12 08:33:33,2021-12-12 08:35:20,31 Ave & 61 St,6654,31 Ave & 57 St,6621,40.757525,-73.901614,40.757357,-73.904726,member
26504,406556C1E88BC34B,electric_bike,2021-12-30 16:26:30,2021-12-30 16:31:49,31 Ave & 61 St,6654,31 Ave & Steinway St,6782,40.757525,-73.901614,40.7611488,-73.9170071,casual
26576,C0FF80DB6AFA13D7,electric_bike,2021-12-08 16:33:54,2021-12-08 16:39:14,31 Ave & 61 St,6654,31 Ave & Steinway St,6782,40.757525,-73.901614,40.7611488,-73.9170071,member
26986,D4D2C566E4CC6A35,electric_bike,2021-12-15 22:06:03,2021-12-15 22:11:33,31 Ave & 61 St,6654,31 Ave & Steinway St,6782,40.757525,-73.901614,40.7611488,-73.9170071,casual
31559,8FDB6CA81889A436,electric_bike,2021-12-05 09:23:44,2021-12-05 09:31:58,31 Ave & 61 St,6654,35 St & Broadway,6750,40.757525,-73.901614,40.760339,-73.9222427,member
33089,62118227F5CD0FED,classic_bike,2021-12-08 17:03:04,2021-12-08 17:11:11,31 Ave & 61 St,6654,31 Ave & Steinway St,6782,40.757525,-73.901614,40.7611488,-73.9170071,member
65461,D2B9F1DF61430E01,classic_bike,2021-12-16 12:31:29,2021-12-16 12:45:27,31 Ave & 61 St,6654,34 Ave & 31 St,6720,40.757525,-73.901614,40.759604471387945,-73.92714411020279,casual
70348,A79489379EE3B1B1,classic_bike,2021-12-12 20:29:15,2021-12-12 20:34:20,31 Ave & 61 St,6654,50 St & 30 Ave,6735,40.757525,-73.901614,40.760083,-73.907107,member
81653,AE313D8A54237832,electric_bike,2021-12-05 17:29:34,2021-12-05 17:30:15,31 Ave & 61 St,6654,31 Ave & 61 St,6654,40.757525,-73.901614,40.757525,-73.901614,member
81888,25E42AC3F5CC1BBC,electric_bike,2021-12-21 07:35:27,2021-12-21 07:42:22,48 St & 37 Ave,6435,31 Ave & 61 St,6654,40.751555,-73.915026,40.757525,-73.901614,member
82612,9B6550551DA6F71E,classic_bike,2021-12-15 13:02:27,2021-12-15 13:20:54,34 Ave & 38 St,6638,31 Ave & 61 St,6654,40.756913,-73.921631,40.757525,-73.901614,member
