,ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual
15,0B9F3D5C063FD22A,electric_bike,2022-03-21 05:29:47,2022-03-21 05:50:35,21 St & 23 Ave,7210,St. Ann's Av & Bruckner Blvd,7657,40.778557,-73.919046,40.803399,-73.919763,member
78992,03B895630B88CB13,electric_bike,2022-03-08 03:20:07,2022-03-08 03:28:52,Adam Clayton Powell Blvd & W 141 St,7893,St. Ann's Av & Bruckner Blvd,7657,40.819241,-73.941057,40.803399,-73.919763,member
78993,373D2DDA085892F2,electric_bike,2022-03-12 03:34:04,2022-03-12 03:43:42,Adam Clayton Powell Blvd & W 141 St,7893,St. Ann's Av & Bruckner Blvd,7657,40.819241,-73.941057,40.803399,-73.919763,member
79049,95B87FDB5FAEACA8,classic_bike,2022-03-19 12:59:09,2022-03-19 13:13:55,E 165 St & Clay Ave,8052,St. Ann's Av & Bruckner Blvd,7657,40.82809,-73.91288,40.803399,-73.919763,member
182575,779213CF45B19372,electric_bike,2022-03-30 17:56:08,2022-03-30 18:00:57,Walnut Ave & E 136 St,7639,St. Ann's Av & Bruckner Blvd,7657,40.801657,-73.909513,40.803399,-73.919763,member
182807,98C8B24A2D556CD2,electric_bike,2022-03-16 05:12:40,2022-03-16 05:25:03,St Nicholas Ave & W 137 St,7898,St. Ann's Av & Bruckner Blvd,7657,40.818477,-73.947568,40.803399,-73.919763,casual
182867,B49EB959B0EC99B0,electric_bike,2022-03-22 19:33:48,2022-03-22 19:45:19,E 167 St & Clay Ave,8088,St. Ann's Av & Bruckner Blvd,7657,40.83094,-73.91125,40.803399,-73.919763,casual
182889,785E01342F58F995,electric_bike,2022-03-27 19:21:10,2022-03-27 19:31:53,E 167 St & Clay Ave,8088,St. Ann's Av & Bruckner Blvd,7657,40.83094,-73.91125,40.803399,-73.919763,casual
182987,EA99D645496E7E04,electric_bike,2022-03-24 09:52:54,2022-03-24 09:57:24,Alexander Ave & E 134 St,7712,St. Ann's Av & Bruckner Blvd,7657,40.807466,-73.927107,40.803399,-73.919763,member
184286,162D007C3F21A2F7,electric_bike,2022-03-14 05:30:40,2022-03-14 05:36:38,Lincoln Ave & E 138 St,7744,St. Ann's Av & Bruckner Blvd,7657,40.810893,-73.927311,40.803399,-73.919763,casual
184287,6377BD434BCDB374,electric_bike,2022-03-14 16:02:49,2022-03-14 16:14:37,E 138 St & Canal St W,7803,St. Ann's Av & Bruckner Blvd,7657,40.812304,-73.929153,40.803399,-73.919763,casual
247902,B3862D8BE4AF23D7,electric_bike,2022-03-10 14:06:55,2022-03-10 14:31:51,St. Ann's Av & Bruckner Blvd,7657,Frederick Douglass Blvd & W 139 St,7876,40.803399,-73.919763,40.81900581806558,-73.94476890563965,casual
