,external_id,legacy_id,lon,lat,short_name,eightd_has_key_dispenser,name,capacity,has_kiosk,eightd_station_services,station_type,rental_methods,station_id,electric_bike_surcharge_waiver,region_id,rental_uris.ios,rental_uris.android
1012,88bf1344-354f-4699-bdbd-1c2584fc41ee,4036,-73.9477213,40.7639089,6814.01,False,Motorgate,36,True,[],classic,"['CREDITCARD', 'KEY']",4036,False,71,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan
1013,b47e5ffd-4215-4476-a89b-ebe52111f763,4037,-73.9536,40.757284,6599.01,False,Roosevelt Island Tramway,39,True,[],classic,"['CREDITCARD', 'KEY']",4037,False,71,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan
1014,ad17bd9a-735b-4a11-8ad3-dc7800e342af,4038,-73.95865201950072,40.75370225419114,6566.01,False,Southpoint Park,36,True,[],classic,"['CREDITCARD', 'KEY']",4038,False,71,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan
1015,06109e92-4363-445a-9743-0457f6799530,4040,-73.98671329021454,40.742684734875695,6131.12,False,Madison Ave & E 26 St,51,True,[],classic,"['CREDITCARD', 'KEY']",4040,False,71,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan
1016,1b962833-d769-418e-b1ef-5a183bb5eb1a,4041,-73.936232,40.825289,8009.05,False,Adam Clayton Powell Blvd & W 151 St,18,True,[],classic,"['CREDITCARD', 'KEY']",4041,False,71,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan
1017,8d097a6d-f17c-4195-9dd4-42527b371c71,4044,-73.99177,40.75461,6526.05,False,8 Ave & W 38 St,48,True,[],classic,"['CREDITCARD', 'KEY']",4044,False,71,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan
1018,2f656bc4-7743-4326-8330-a22bd41d9d17,4045,-73.99005,40.77237,7059.08,False,West End Ave & W 60 St,39,True,[],classic,"['CREDITCARD', 'KEY']",4045,False,71,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan
1019,26217b73-7bb5-46e6-8094-1db05becd617,4047,-73.942386,40.832081,8104.10,False,Amsterdam Ave & W 156 St,27,True,[],classic,"['CREDITCARD', 'KEY']",4047,False,71,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan
1020,058ee86d-ce2a-4597-99f7-f78f082b33e3,4048,-73.94102,40.832314,8085.09,False,St. Nicholas Ave & W 157 St,20,True,[],classic,"['CREDITCARD', 'KEY']",4048,False,71,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan
1021,c6c10756-ef41-491a-8e6c-ee0aa27b8cbe,4050,-73.939326,40.833303,8119.05,False,W 159 St & Edgecombe Ave,21,True,[],classic,"['CREDITCARD', 'KEY']",4050,False,71,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan
1022,b83b2a73-af8e-4b82-b61e-aeaaf075fbe2,4051,-73.939865,40.834468,8138.07,False,W 160 St & St. Nicholas Ave,26,True,[],classic,"['CREDITCARD', 'KEY']",4051,False,71,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan
1023,bc9c9006-3d40-400d-8b5c-17f56e6dfcee,4052,-73.939789,40.83618,8172.07,False,Amsterdam Ave & W 162 St,27,True,[],classic,"['CREDITCARD', 'KEY']",4052,False,71,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan
1024,36aaebb9-ef10-41a5-b20b-753bf8a3fed8,4053,-73.937496,40.835798,8153.10,False,W 163 St & Edgecombe Ave,19,True,[],classic,"['CREDITCARD', 'KEY']",4053,False,71,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan
1025,59af018a-2ee9-489a-b445-bb6fba9c1119,4054,-73.945446,40.839278,8210.01,False,W 163 St & Riverside Dr,19,True,[],classic,"['CREDITCARD', 'KEY']",4054,False,71,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan
1026,95a52ce4-3597-47d1-8d6f-427cb3b8ca6a,4055,-73.942939,40.84004,8226.05,False,W 165 St & Fort Washington Ave,27,True,[],classic,"['CREDITCARD', 'KEY']",4055,False,71,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan
1027,912813fc-fde4-4430-8443-a4fa21477e7f,4056,-73.941409,40.839137,8191.01,False,Broadway & W 165 St,24,True,[],classic,"['CREDITCARD', 'KEY']",4056,False,71,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan
