,ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual
22278,AF29BB32915F472D,classic_bike,2021-07-24 13:56:13,2021-07-24 14:15:22,Rogers Ave & Sterling St,3696,Parade Pl & Crooke Ave,3376,40.6630619,-73.9538746,40.651847,-73.965248,casual
26470,C6978EC281717489,classic_bike,2021-07-23 11:55:42,2021-07-24 12:55:36,Rogers Ave & Sterling St,3696,,nan,40.6630619,-73.9538746,,,casual
26473,5A4AD1BA8B8C6AFD,classic_bike,2021-07-31 10:39:47,2021-08-01 11:39:43,Rogers Ave & Sterling St,3696,,nan,40.6630619,-73.9538746,,,casual
27601,ED63F2F687CB6195,classic_bike,2021-07-28 18:54:58,2021-07-29 19:54:55,Rogers Ave & Sterling St,3696,,nan,40.6630619,-73.9538746,,,casual
27605,CA618C4515603EDE,classic_bike,2021-07-28 16:14:17,2021-07-29 17:14:11,Rogers Ave & Sterling St,3696,,nan,40.6630619,-73.9538746,,,casual
32581,087564B64C2C8A18,classic_bike,2021-07-24 17:31:53,2021-07-24 19:16:35,Rogers Ave & Sterling St,3696,Parade Pl & Crooke Ave,3376,40.6630619,-73.9538746,40.651847,-73.965248,casual
38431,01259FA5046B5553,classic_bike,2021-07-28 16:16:50,2021-07-29 17:16:45,Rogers Ave & Sterling St,3696,,nan,40.6630619,-73.9538746,,,casual
49539,E3C2E664AD57B6DA,electric_bike,2021-07-24 10:49:55,2021-07-24 13:06:07,Rogers Ave & Sterling St,3696,Amsterdam Ave & W 79 St,7311,40.6630619,-73.9538746,40.7829391,-73.9786517,casual
49553,4C1FEEF56801A496,electric_bike,2021-07-25 00:36:34,2021-07-25 01:00:31,Rogers Ave & Sterling St,3696,Kane St & Clinton St,4455,40.6630619,-73.9538746,40.6861758,-73.99645295,casual
51513,E4AAD7D1557B66E7,classic_bike,2021-07-27 19:10:36,2021-07-27 19:32:58,Rogers Ave & Sterling St,3696,Monroe St & Bedford Ave,4368,40.6630619,-73.9538746,40.6851443,-73.95380904,casual
54588,7058C99224799620,electric_bike,2021-07-28 17:57:35,2021-07-28 18:03:02,Rogers Ave & Sterling St,3696,Carroll St & Washington Ave,3887,40.6630619,-73.9538746,40.6686744,-73.9618148,member
56423,3F5CF25C80D7A833,classic_bike,2021-07-24 19:40:09,2021-07-24 20:07:26,Rogers Ave & Sterling St,3696,Prospect Park SW & Greenwood Ave,3385,40.6630619,-73.9538746,40.652563,-73.972573,casual
59507,2BDCD64F64337E5E,classic_bike,2021-07-31 20:33:32,2021-07-31 21:04:06,Rogers Ave & Sterling St,3696,Graham Ave & Withers St,5403,40.6630619,-73.9538746,40.7169811,-73.94485918,casual
60536,D61B22A6DEAC5B32,electric_bike,2021-07-24 17:31:27,2021-07-24 19:14:49,Rogers Ave & Sterling St,3696,Parade Pl & Crooke Ave,3376,40.6630619,-73.9538746,40.651847,-73.965248,casual
66524,246ECE4E84A4A495,classic_bike,2021-07-26 20:39:28,2021-07-26 20:56:27,Rogers Ave & Sterling St,3696,Clermont Ave & Lafayette Ave,4461,40.6630619,-73.9538746,40.68764484,-73.96968902,casual
69498,3D283058447BFC5E,classic_bike,2021-07-23 15:10:00,2021-07-23 15:30:24,Rogers Ave & Sterling St,3696,Berkeley Pl & 7 Ave,4051,40.6630619,-73.9538746,40.675146838709786,-73.97523209452629,member
74390,4D987B9349C71D84,electric_bike,2021-07-24 13:02:28,2021-07-24 13:28:38,Rogers Ave & Sterling St,3696,Leonard St & Nassau Ave,5550,40.6630619,-73.9538746,40.7239567849954,-73.94984364509583,casual
82750,E8196CF38F1338B6,electric_bike,2021-07-26 18:02:00,2021-07-26 18:27:46,Rogers Ave & Sterling St,3696,Berry St & N 8 St,5379,40.6630619,-73.9538746,40.7190095,-73.95852515,member
