,ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual
2502,E9FD9AC3F6C614B1,electric_bike,2021-08-30 13:20:17,2021-08-30 13:31:20,3 Ave & E 169 St,8103,E Burnside Ave & Ryer Ave,8397,40.832678,-73.905158,40.850535,-73.901318,casual
2768,C6F8D81FAB31A37A,classic_bike,2021-08-31 12:43:46,2021-08-31 13:09:40,3 Ave & E 169 St,8103,5 Av & W 139 St,7851,40.832678,-73.905158,40.815484,-73.935856,member
4589,6B8B50650B3CA968,classic_bike,2021-08-21 15:11:19,2021-08-21 15:16:45,3 Ave & E 169 St,8103,3 Ave & E 163 St,7974,40.832678,-73.905158,40.823872,-73.908699,member
4593,7601D912FA08DE28,electric_bike,2021-08-23 19:58:35,2021-08-23 20:11:02,3 Ave & E 169 St,8103,3 Ave & E 163 St,7974,40.832678,-73.905158,40.823872,-73.908699,member
7873,E9883280F1C98DF3,electric_bike,2021-08-29 10:44:42,2021-08-29 10:59:45,3 Ave & E 169 St,8103,Amsterdam Ave & W 172 St,8242,40.832678,-73.905158,40.842173,-73.935111,member
10783,E0861C40ADD92659,electric_bike,2021-08-30 11:27:01,2021-08-30 11:27:43,3 Ave & E 169 St,8103,3 Ave & E 169 St,8103,40.832678,-73.905158,40.832678,-73.905158,member
10888,F53E4D3FCCD734E5,classic_bike,2021-08-10 15:48:28,2021-08-10 16:08:20,Lincoln Ave & E 138 St,7744,3 Ave & E 169 St,8103,40.810893,-73.927311,40.832678,-73.905158,casual
11323,3528E49B875F1685,electric_bike,2021-08-17 12:48:07,2021-08-17 12:48:42,3 Ave & E 169 St,8103,3 Ave & E 169 St,8103,40.832678,-73.905158,40.832678,-73.905158,member
11353,2320D1A1AB36E35E,electric_bike,2021-08-21 20:23:45,2021-08-21 20:24:52,3 Ave & E 169 St,8103,3 Ave & E 169 St,8103,40.832678,-73.905158,40.832678,-73.905158,member
11389,C6159F4011EE5BE8,electric_bike,2021-08-23 07:38:49,2021-08-23 07:39:27,3 Ave & E 169 St,8103,3 Ave & E 169 St,8103,40.832678,-73.905158,40.832678,-73.905158,casual
11420,5CC3D2512260B136,classic_bike,2021-08-08 12:16:37,2021-08-08 12:37:40,3 Ave & E 169 St,8103,3 Ave & E 169 St,8103,40.832678,-73.905158,40.832678,-73.905158,casual
12852,C83B15A312781366,docked_bike,2021-08-01 15:01:15,2021-08-01 15:43:28,3 Ave & E 169 St,8103,3 Ave & E 169 St,8103,40.832678,-73.905158,40.832678,-73.905158,casual
12863,A9FC55A0D792D169,electric_bike,2021-08-18 12:59:08,2021-08-18 12:59:46,3 Ave & E 169 St,8103,3 Ave & E 169 St,8103,40.832678,-73.905158,40.832678,-73.905158,member
12864,68F41AB32E39DB42,classic_bike,2021-08-10 15:06:34,2021-08-10 15:13:06,E 161 St & Park Ave,7979,3 Ave & E 169 St,8103,40.824811,-73.916407,40.832678,-73.905158,member
12946,DA5EED37669124D5,classic_bike,2021-08-10 07:13:24,2021-08-10 07:36:43,3 Ave & E 169 St,8103,3 Ave & E 169 St,8103,40.832678,-73.905158,40.832678,-73.905158,casual
12958,30F010E25EF895BA,classic_bike,2021-08-03 13:56:59,2021-08-03 14:36:13,3 Ave & E 169 St,8103,3 Ave & E 169 St,8103,40.832678,-73.905158,40.832678,-73.905158,casual
13191,FE8B8634C67507E7,classic_bike,2021-08-19 17:49:43,2021-08-19 18:03:19,University Ave & Brandt Pl,8366,3 Ave & E 169 St,8103,40.848354,-73.918389,40.832678,-73.905158,member
15426,69279844FCBB05DA,electric_bike,2021-08-19 15:17:13,2021-08-19 15:22:02,3 Ave & E 169 St,8103,Park Ave & E 162 St,8016,40.832678,-73.905158,40.825716,-73.915585,casual
17095,A756553C6D5875F5,electric_bike,2021-08-14 10:38:03,2021-08-14 10:47:28,3 Ave & E 169 St,8103,E Burnside Ave & Ryer Ave,8397,40.832678,-73.905158,40.850535,-73.901318,casual
22173,A23597F19431AEB3,electric_bike,2021-08-26 06:37:41,2021-08-26 06:46:12,3 Ave & E 169 St,8103,Melrose Ave & E 150 St,7879,40.832678,-73.905158,40.816827,-73.917338,casual
22174,681951C56988BED7,electric_bike,2021-08-19 00:10:47,2021-08-19 00:17:19,3 Ave & E 169 St,8103,Bergen Ave & E 152 St,7858,40.832678,-73.905158,40.817166,-73.914737,casual
22273,71A55A04C260DC94,classic_bike,2021-08-30 22:24:30,2021-08-30 22:37:19,3 Ave & E 169 St,8103,Melrose Ave & E 150 St,7879,40.832678,-73.905158,40.816827,-73.917338,member
22274,A9779C7FED7D346C,electric_bike,2021-08-18 14:58:18,2021-08-18 15:06:15,3 Ave & E 169 St,8103,Melrose Ave & E 150 St,7879,40.832678,-73.905158,40.816827,-73.917338,member
22277,803181AC4F760B32,classic_bike,2021-08-07 11:47:26,2021-08-07 11:55:39,3 Ave & E 169 St,8103,Melrose Ave & E 150 St,7879,40.832678,-73.905158,40.816827,-73.917338,casual
27260,BE56731F2D122241,electric_bike,2021-08-20 19:20:10,2021-08-20 19:28:48,3 Ave & E 169 St,8103,Grand Concourse & E 167 St,8126,40.832678,-73.905158,40.834263,-73.917641,member
29070,F81FAED6DC3C7028,electric_bike,2021-08-18 13:35:44,2021-08-18 14:14:00,3 Ave & E 169 St,8103,W Tremont Ave & Montgomery Ave,8407,40.832678,-73.905158,40.851788,-73.916418,casual
30500,30BF3BD755D3FC5C,electric_bike,2021-08-10 17:18:43,2021-08-10 17:26:25,3 Ave & E 169 St,8103,Tinton Ave & E 165 St,7991,40.832678,-73.905158,40.824796,-73.90242,casual
32215,B6B241A4AD0EF520,classic_bike,2021-08-29 13:22:04,2021-08-29 13:34:38,3 Ave & E 169 St,8103,E 142 St & 3 Ave,7781,40.832678,-73.905158,40.812735,-73.923697,casual
32550,0238DA13A0B0971D,electric_bike,2021-08-19 21:53:12,2021-08-19 22:20:59,3 Ave & E 169 St,8103,E 142 St & 3 Ave,7781,40.832678,-73.905158,40.812735,-73.923697,casual
32671,4A0582445ED5EC7A,electric_bike,2021-08-26 05:43:55,2021-08-26 06:12:18,3 Ave & E 169 St,8103,Dyckman St & Staff St,8655,40.832678,-73.905158,40.868846,-73.931537,casual
32676,74E8C9EBC200311D,classic_bike,2021-08-26 05:51:23,2021-08-26 06:06:00,3 Ave & E 169 St,8103,E 142 St & 3 Ave,7781,40.832678,-73.905158,40.812735,-73.923697,member
